Column	QuestionID	MultipleChoiceID	QuestionText	MultipleChoiceText
C316	Q6.4	h	Circumnstances under which identifiable individual data can be disclosed to third parties	Other
C317	Q6.4	i	Circumnstances under which identifiable individual data can be disclosed to third parties	None Of The Above
C318	Q6.4a		Regulations that indicate the circumstances under which individual data can be disclosed	
C319	Q6.5		Additional comments on challenges to the implementation of Principle 6	
C320	Q7.1		Existence of a general statistics law in the country	
C321	Q7.2	a	Aspects of the NSS covered by regulations (e.g. Statistical Law, presidential decrees)	The definition of official statistics
C322	Q7.2	b	Aspects of the NSS covered by regulations (e.g. Statistical Law, presidential decrees)	The body responsible for statistics and its responsibilities
C323	Q7.2	c	Aspects of the NSS covered by regulations (e.g. Statistical Law, presidential decrees)	The status, mandate and functions of the NSO
C324	Q7.2	d	Aspects of the NSS covered by regulations (e.g. Statistical Law, presidential decrees)	The role and status of the chief statistician
C325	Q7.2	e	Aspects of the NSS covered by regulations (e.g. Statistical Law, presidential decrees)	The staff of the NSO
C326	Q7.2	f	Aspects of the NSS covered by regulations (e.g. Statistical Law, presidential decrees)	The role and membership of the national statistical council
C327	Q7.2	g	Aspects of the NSS covered by regulations (e.g. Statistical Law, presidential decrees)	The coordination of statistical activities across government
C328	Q7.2	h	Aspects of the NSS covered by regulations (e.g. Statistical Law, presidential decrees)	The role and the responsibilities of agencies other than the NSO
C329	Q7.2	i	Aspects of the NSS covered by regulations (e.g. Statistical Law, presidential decrees)	The matters to be covered in the statistical work program
C330	Q7.2	j	Aspects of the NSS covered by regulations (e.g. Statistical Law, presidential decrees)	Sanctions for not responding to mandatory statistical enquiries
C331	Q7.2	k	Aspects of the NSS covered by regulations (e.g. Statistical Law, presidential decrees)	Access to administrative data
C332	Q7.2	l	Aspects of the NSS covered by regulations (e.g. Statistical Law, presidential decrees)	Presumption of publication and the acceptable conditions for not publishing data collected
C333	Q7.2	m	Aspects of the NSS covered by regulations (e.g. Statistical Law, presidential decrees)	Secrecy, confidentiality and privacy obligations (including sanctions for non-compliance)
C334	Q7.2	n	Aspects of the NSS covered by regulations (e.g. Statistical Law, presidential decrees)	Participation in international statistical activities
C335	Q7.2	o	Aspects of the NSS covered by regulations (e.g. Statistical Law, presidential decrees)	Other
C336	Q7.2	p	Aspects of the NSS covered by regulations (e.g. Statistical Law, presidential decrees)	None Of The Above
C337	Q7.2a	a	Agencies other than NSO whose role and responsibilities are covered by the law	Statistical offices at the sub-national level (region, province, etc.)
C338	Q7.2a	b	Agencies other than NSO whose role and responsibilities are covered by the law	Statistical services in line ministries
C339	Q7.2a	c	Agencies other than NSO whose role and responsibilities are covered by the law	Statistical services in the Central Bank
C340	Q7.2a	d	Agencies other than NSO whose role and responsibilities are covered by the law	Custodians of administrative data
C341	Q7.2a	e	Agencies other than NSO whose role and responsibilities are covered by the law	Chambers of commerce or other business networks
C342	Q7.2a	f	Agencies other than NSO whose role and responsibilities are covered by the law	Trade unions
C343	Q7.2a	g	Agencies other than NSO whose role and responsibilities are covered by the law	Statistical research and training centres 
C344	Q7.2a	h	Agencies other than NSO whose role and responsibilities are covered by the law	Private institutions
C345	Q7.2a	i	Agencies other than NSO whose role and responsibilities are covered by the law	Supra-national bodies (e.g. Eurostat)
C346	Q7.2a	j	Agencies other than NSO whose role and responsibilities are covered by the law	Other
C347	Q7.2a	k	Agencies other than NSO whose role and responsibilities are covered by the law	None Of The Above
C348	Q7.2b		How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	
C349	Q7.3	a	How the NSO has encouraged respondents to answer surveys during the past five years	By launching awareness campaigns prior to censuses or large surveys
C350	Q7.3	b	How the NSO has encouraged respondents to answer surveys during the past five years	By sending pre-announcement letters
C351	Q7.3	c	How the NSO has encouraged respondents to answer surveys during the past five years	By requesting informed consent
C352	Q7.3	d	How the NSO has encouraged respondents to answer surveys during the past five years	By providing an explanatory text on the front page of the survey
C353	Q7.3	e	How the NSO has encouraged respondents to answer surveys during the past five years	By applying fines for not responding
C354	Q7.3	f	How the NSO has encouraged respondents to answer surveys during the past five years	By declaring the census day national holiday
C355	Q7.3	g	How the NSO has encouraged respondents to answer surveys during the past five years	Other
C356	Q7.3	h	How the NSO has encouraged respondents to answer surveys during the past five years	None Of The Above
C357	Q7.4 		Person/office within the government to whom the head of the NSO reports	
C358	Q7.5 		A Freedom of Information or Access to Information law covers the NSS	
C359	Q7.6 		Regulations affect the functioning of the NSOs published on the website	
C360	Q7.7 		Additional comments on challenges to the implementation of Principle 7	
C361	Q8.1	a	Agencies other than the NSO which produce official statistics on behalf of the government	Statistical offices at the sub-national level (region, province, etc.)
C362	Q8.1	b	Agencies other than the NSO which produce official statistics on behalf of the government	Statistical services in line ministries
C363	Q8.1	c	Agencies other than the NSO which produce official statistics on behalf of the government	Statistical services in the Central Bank
C364	Q8.1	d	Agencies other than the NSO which produce official statistics on behalf of the government	Statistical research and training centers
C365	Q8.1	e	Agencies other than the NSO which produce official statistics on behalf of the government	Private institutions
C366	Q8.1	f	Agencies other than the NSO which produce official statistics on behalf of the government	Public research institutions
C367	Q8.1	g	Agencies other than the NSO which produce official statistics on behalf of the government	Supra-national bodies (e.g. Eurostat)
C368	Q8.1	h	Agencies other than the NSO which produce official statistics on behalf of the government	Other
C369	Q8.1	i	Agencies other than the NSO which produce official statistics on behalf of the government	None Of The Above
C370	Q8.2	a	Activities currently being implemented for coordinating the NSS	Signing of memorandums of understanding between agencies
C371	Q8.2	b	Activities currently being implemented for coordinating the NSS	Meeting in statistical committees, councils, etc. 
C372	Q8.2	c	Activities currently being implemented for coordinating the NSS	Sharing of information and databases
C373	Q8.2	d	Activities currently being implemented for coordinating the NSS	Developing joint training programmes
C374	Q8.2	e	Activities currently being implemented for coordinating the NSS	Exchanging staff between agencies
C375	Q8.2	f	Activities currently being implemented for coordinating the NSS	Placement of NSO staff in other agencies
C376	Q8.2	g	Activities currently being implemented for coordinating the NSS	Reviewing and â€œclearingâ€ any planned data collection
C377	Q8.2	h	Activities currently being implemented for coordinating the NSS	Monitoring duplication of work between agencies
C378	Q8.2	i	Activities currently being implemented for coordinating the NSS	Sharing budget between statistical agencies
C379	Q8.2	j	Activities currently being implemented for coordinating the NSS	Embarking in joint data collection
C380	Q8.2	k	Activities currently being implemented for coordinating the NSS	Preparing annual or multi-annual consolidated program of statistical activities
C381	Q8.2	l	Activities currently being implemented for coordinating the NSS	Performing regular quality reviews of statistical programs across the NSS
C382	Q8.2	m	Activities currently being implemented for coordinating the NSS	Other
C383	Q8.2	n	Activities currently being implemented for coordinating the NSS	None Of The Above
C384	Q8.3		Frequency of meetings between producers of official statistics during the past five years	
C385	Q8.4	a	How is dissemination coordinated across the NSS	Unified release calendar
C386	Q8.4	b	How is dissemination coordinated across the NSS	Standardized microdata structure
C387	Q8.4	c	How is dissemination coordinated across the NSS	Standardized metadata structure
C388	Q8.4	d	How is dissemination coordinated across the NSS	Other
C389	Q8.4	e	How is dissemination coordinated across the NSS	None Of The Above
C390	Q8.5		Existence of a central data portal where different members of the NSS publish official statistical data	
C391	Q8.5a		Details of data portal where different members of the NSS publish official statistical data	
C392	Q8.5b		Reasons/challenges explaining lack of data portal where different members of the NSS publish official statistical data	
C393	Q8.6		Additional comments on challenges for the implementation of Principle 8	
C394	Q9.1		Version of the SNA currently used	
C395	Q9.1a		Details on version of SNA currently used	
C396	Q9.2		Extent to which Principles and Recommendations for Population and Housing Censuses, Rev. 3 (for census undertaken after 2015) or Rev. 2 (for census undertaken before 2015) are being implemented in the latest census programme	
C397	Q9.2a		Main reasons/challenges explaining why principles and Recommendations for Population and Housing Censuses, Rev. 3 (for census undertaken after 2015) or Rev. 2 (for census undertaken before 2015) are being implemented partially or not implemented in the latest census programme	
C398	Q9.3	a	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	For the dissemination of time-use statistics, regardless of the type of instruments used for data collection
C399	Q9.3	b	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	To guide the collection of time-use data 
C400	Q9.3	c	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	As the basis for national classifications of activities for time-use statistics
C401	Q9.3	d	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	None of the above
C402	Q9.3	e	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	Time use is not compiled
C403	Q9.3a		Details on use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	
C404	Q9.4	a	Existence of a programme on EEA*?	Yes, we have compiled and published at least one EEA
C405	Q9.4	b	Existence of a programme on EEA*?	Yes, we have compiled (or are compiling) at least one EEA but it has not been published
C406	Q9.4	c	Existence of a programme on EEA*?	We plan (or have started) a programme on EEA, but do not yet compile any EEA
C407	Q9.4	d	Existence of a programme on EEA*?	No, we do not have a programme on EEA 
C408	Q9.5		SDMX currently in use	
C409	Q9.5a		Details or examples on the use of SDMX	
C410	Q9.5b		Main reasons/challenges explaining the lack of use of SDMX	
C411	Q9.6		Additional comments on the implementation of Principle 9	
C412	Q10.1	a	Types of international cooperation activities the NSS engages in	Participation in international working groups
C413	Q10.1	b	Types of international cooperation activities the NSS engages in	Participation in regional working groups
C414	Q10.1	c	Types of international cooperation activities the NSS engages in	Technical cooperation
C415	Q10.1	d	Types of international cooperation activities the NSS engages in	Twinning (peer to peer collaboration)
C416	Q10.1	e	Types of international cooperation activities the NSS engages in	Training of statistical personnel
C417	Q10.1	f	Types of international cooperation activities the NSS engages in	Peer reviews and/or external evaluations
C418	Q10.1	g	Types of international cooperation activities the NSS engages in	Other
C419	Q10.1	h	Types of international cooperation activities the NSS engages in	None Of The Above
C420	Q10.2		Ways in which international cooperation has affected the functioning of your NSS	
C421	Q10.3		Existence of donor coordination mechanism or basket fund for statistics (if country receives support from donors)	
C422	Q10.3a		Details on donor coordination mechanism or basket fund for statistics	
C423	Q10.3b		Main reasons/challenges for lack of donor coordination mechanism or basket fund for statistics	
C424	Q10.4		The NSO participates in or contributes to organizations or partnerships whose purpose is to promote open data	
C425	Q10.4a		Organizations or partnerships whose purpose is to promote open data in which the NSO participates or contributes	
C426	Q10.5		Additional comments on the implementation of Principle 10	
C427	Q11.1		Milestones with respect to the implementation of the UNFPOS over the past 10 years	
C428	Q11.2		Main challenges being faced in the implementation of the UNFPOS	
C429	Q11.3		How implementation of the UNFPOS is expected to change over the next 10 years	
C430	Q11.4		How can international organizations contribute to the implementation of the UNFPOS at the country level	
C431	Q11.5		How long did it take to fill out this questionnaire (in minutes)?	
