QuestionID	QuestionText	Group	Answer	TOTAL
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law		Statistical services in the Central Bank	44
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law		Custodians of administrative data	41
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law		Statistical offices at the sub-national level (region, province, etc.)	40
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law		Statistical research and training centres 	20
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law		Private institutions	14
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law		Chambers of commerce or other business networks	11
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law		Trade unions	8
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law		Supra-national bodies (e.g. Eurostat)	3
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law		Other	6
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law		None Of The Above	1
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years		By launching awareness campaigns prior to censuses or large surveys	87
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years		By sending pre-announcement letters	82
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years		By providing an explanatory text on the front page of the survey	81
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years		By requesting informed consent	40
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years		By applying fines for not responding	38
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years		By declaring the census day national holiday	6
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years		Other	13
Q07.4 	Person/office within the government to whom the head of the NSO reports		Ministry of planning or development	24
Q07.4 	Person/office within the government to whom the head of the NSO reports		Prime Minister, chancellor or President	22
Q07.4 	Person/office within the government to whom the head of the NSO reports		Ministry of economic affairs, industry or trade	12
Q07.4 	Person/office within the government to whom the head of the NSO reports		Ministry of finance or comptroller general	12
Q07.4 	Person/office within the government to whom the head of the NSO reports		Cabinet or Council of Ministers	10
Q07.4 	Person/office within the government to whom the head of the NSO reports		Parliament/Congress	5
Q07.4 	Person/office within the government to whom the head of the NSO reports		Ministry of the interior	2
Q07.4 	Person/office within the government to whom the head of the NSO reports		Planning or development authority	1
Q07.4 	Person/office within the government to whom the head of the NSO reports		To general public	1
Q07.4 	Person/office within the government to whom the head of the NSO reports		Other	12
Q07.5 	A Freedom of Information or Access to Information law covers the NSS		No such law exists	18
Q07.5 	A Freedom of Information or Access to Information law covers the NSS		No	9
Q07.5 	A Freedom of Information or Access to Information law covers the NSS		Yes	73
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government		Statistical services in the Central Bank	90
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government		Statistical services in line ministries	86
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government		Statistical offices at the sub-national level (region, province, etc.)	47
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government		Public research institutions	24
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government		Statistical research and training centers	20
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government		Supra-national bodies (e.g. Eurostat)	13
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government		Private institutions	12
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government		Other	8
Q08.2	Activities currently being implemented for coordinating the NSS		Meeting in statistical committees, councils, etc. 	89
Q08.2	Activities currently being implemented for coordinating the NSS		Sharing of information and databases	78
Q08.2	Activities currently being implemented for coordinating the NSS		Signing of memorandums of understanding between agencies	76
Q08.2	Activities currently being implemented for coordinating the NSS		Developing joint training programmes	63
Q08.2	Activities currently being implemented for coordinating the NSS		Preparing annual or multi-annual consolidated program of statistical activities	54
Q08.2	Activities currently being implemented for coordinating the NSS		Monitoring duplication of work between agencies	51
Q08.2	Activities currently being implemented for coordinating the NSS		Embarking in joint data collection	45
Q08.2	Activities currently being implemented for coordinating the NSS		Performing regular quality reviews of statistical programs across the NSS	31
Q08.2	Activities currently being implemented for coordinating the NSS		Reviewing and clearing any planned data collection	29
Q08.2	Activities currently being implemented for coordinating the NSS		Placement of NSO staff in other agencies	27
Q08.2	Activities currently being implemented for coordinating the NSS		Exchanging staff between agencies	24
Q08.2	Activities currently being implemented for coordinating the NSS		Sharing budget between statistical agencies	18
Q08.2	Activities currently being implemented for coordinating the NSS		Other	73
Q08.2	Activities currently being implemented for coordinating the NSS		None Of The Above	1
Q08.3	Frequency of meetings between producers of official statistics during the past five years		Once over the five-year period	2
Q08.3	Frequency of meetings between producers of official statistics during the past five years		Twice over the five-year period	2
Q08.3	Frequency of meetings between producers of official statistics during the past five years		Once per year	12
Q08.3	Frequency of meetings between producers of official statistics during the past five years		Twice or more per year	75
Q08.3	Frequency of meetings between producers of official statistics during the past five years		Other	4
Q08.3	Frequency of meetings between producers of official statistics during the past five years		None of the above	4
Q08.4	How is dissemination coordinated across the NSS		Unified release calendar	30
Q08.4	How is dissemination coordinated across the NSS		Standardized metadata structure	19
Q08.4	How is dissemination coordinated across the NSS		Other	9
Q08.4	How is dissemination coordinated across the NSS		Standardized microdata structure	8
Q08.4	How is dissemination coordinated across the NSS		None Of The Above	45
Q08.5	Existence of a central data portal where different members of the NSS publish official statistical data		No	59
Q08.5	Existence of a central data portal where different members of the NSS publish official statistical data		Yes	35
Q08.5	Existence of a central data portal where different members of the NSS publish official statistical data		No Answer	5
Q09.1	Version of the SNA currently used		1993 SNA	20
Q09.1	Version of the SNA currently used		2008 SNA	66
Q09.1	Version of the SNA currently used		ESA 2010	5
Q09.1	Version of the SNA currently used		None	2
Q09.1	Version of the SNA currently used		Other	3
Q09.2	Extent to which Principles and Recommendations for Population and Housing Censuses, Rev. 3 (for census undertaken after 2015) or Rev. 2 (for census undertaken before 2015) are being implemented in the latest census programme		Fully	72
Q09.2	Extent to which Principles and Recommendations for Population and Housing Censuses, Rev. 3 (for census undertaken after 2015) or Rev. 2 (for census undertaken before 2015) are being implemented in the latest census programme		Partially	25
Q09.2	Extent to which Principles and Recommendations for Population and Housing Censuses, Rev. 3 (for census undertaken after 2015) or Rev. 2 (for census undertaken before 2015) are being implemented in the latest census programme		Not implemented	3
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)		For the dissemination of time-use statistics, regardless of the type of instruments used for data collection	18
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)		To guide the collection of time-use data 	19
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)		As the basis for national classifications of activities for time-use statistics	14
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)		None of the above	35
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)		Time use is not compiled	35
Q09.4	Existence of a programme on EEA*		Yes, we have compiled and published at least one EEA	46
Q09.4	Existence of a programme on EEA*		Yes, we have compiled (or are compiling) at least one EEA but it has not been published	8
Q09.4	Existence of a programme on EEA*		We plan (or have started) a programme on EEA, but do not yet compile any EEA	15
Q09.4	Existence of a programme on EEA*		No, we do not have a programme on EEA 	31
Q09.5	SDMX currently in use		Do not know	2
Q09.5	SDMX currently in use		No	27
Q09.5	SDMX currently in use		Partially, only in some statistical domains or data sets	34
Q09.5	SDMX currently in use		Yes	37
Q10.1	Types of international cooperation activities the NSS engages in		Participation in international working groups	96
Q10.1	Types of international cooperation activities the NSS engages in		Participation in regional working groups	92
Q10.1	Types of international cooperation activities the NSS engages in		Technical cooperation	89
Q10.1	Types of international cooperation activities the NSS engages in		Training of statistical personnel	89
Q10.1	Types of international cooperation activities the NSS engages in		Peer reviews and/or external evaluations	73
Q10.1	Types of international cooperation activities the NSS engages in		Twinning (peer to peer collaboration)	47
Q10.1	Types of international cooperation activities the NSS engages in		Other	6
Q10.3	Existence of donor coordination mechanism or basket fund for statistics (if country receives support from donors)		No	47
Q10.3	Existence of donor coordination mechanism or basket fund for statistics (if country receives support from donors)		Yes	53
Q10.4	The NSO participates in or contributes to organizations or partnerships whose purpose is to promote open data		No	40
Q10.4	The NSO participates in or contributes to organizations or partnerships whose purpose is to promote open data		Yes	60
Q11.5_rev	How long did it take to fill out this questionnaire (in hours)?		Africa	9.7
Q11.5_rev	How long did it take to fill out this questionnaire (in hours)?		Americas	3
Q11.5_rev	How long did it take to fill out this questionnaire (in hours)?		Asia	3
Q11.5_rev	How long did it take to fill out this questionnaire (in hours)?		Europe	4
Q11.5_rev	How long did it take to fill out this questionnaire (in hours)?		Oceania	3
Q11.5_rev	How long did it take to fill out this questionnaire (in hours)?		TOTAL	5
