Column	QuestionID	ResponseID	QuestionText	MultipleChoiceText
C306	Q06.3	R06	Practices being implemented to anonymize statistical data	Anonymizing microdata released for research purposes
C307	Q06.3	R07	Practices being implemented to anonymize statistical data	Other
C308	Q06.3	R08	Practices being implemented to anonymize statistical data	None Of The Above
C309	Q06.4	R01	Circumnstances under which identifiable individual data can be disclosed to third parties	When the individual /enterprise consented
C310	Q06.4	R02	Circumnstances under which identifiable individual data can be disclosed to third parties	When a court of law issues a request
C311	Q06.4	R03	Circumnstances under which identifiable individual data can be disclosed to third parties	When requested by a federal institution
C312	Q06.4	R04	Circumnstances under which identifiable individual data can be disclosed to third parties	In cases of emergency, such as a public health crisis
C313	Q06.4	R05	Circumnstances under which identifiable individual data can be disclosed to third parties	When exchanging data with other statistical offices or agencies in the country
C314	Q06.4	R06	Circumnstances under which identifiable individual data can be disclosed to third parties	When working together with supranational statistical organizations, such as Eurostat
C315	Q06.4	R07	Circumnstances under which identifiable individual data can be disclosed to third parties	When the High Statistical Council agrees
C316	Q06.4	R08	Circumnstances under which identifiable individual data can be disclosed to third parties	Other
C317	Q06.4	R09	Circumnstances under which identifiable individual data can be disclosed to third parties	None Of The Above
C318	Q06.4a	R01	Regulations that indicate the circumstances under which individual data can be disclosed	
C319	Q06.5	R01	Additional comments on challenges to the implementation of Principle 6	
C320	Q07.1	R01	Existence of a general statistics law in the country	
C321	Q07.2	R01	Aspects of the NSS covered by regulations (e.g. Statistical Law, presidential decrees)	The definition of official statistics
C322	Q07.2	R02	Aspects of the NSS covered by regulations (e.g. Statistical Law, presidential decrees)	The body responsible for statistics and its responsibilities
C323	Q07.2	R03	Aspects of the NSS covered by regulations (e.g. Statistical Law, presidential decrees)	The status, mandate and functions of the NSO
C324	Q07.2	R04	Aspects of the NSS covered by regulations (e.g. Statistical Law, presidential decrees)	The role and status of the chief statistician
C325	Q07.2	R05	Aspects of the NSS covered by regulations (e.g. Statistical Law, presidential decrees)	The staff of the NSO
C326	Q07.2	R06	Aspects of the NSS covered by regulations (e.g. Statistical Law, presidential decrees)	The role and membership of the national statistical council
C327	Q07.2	R07	Aspects of the NSS covered by regulations (e.g. Statistical Law, presidential decrees)	The coordination of statistical activities across government
C328	Q07.2	R08	Aspects of the NSS covered by regulations (e.g. Statistical Law, presidential decrees)	The role and the responsibilities of agencies other than the NSO
C329	Q07.2	R09	Aspects of the NSS covered by regulations (e.g. Statistical Law, presidential decrees)	The matters to be covered in the statistical work program
C330	Q07.2	R10	Aspects of the NSS covered by regulations (e.g. Statistical Law, presidential decrees)	Sanctions for not responding to mandatory statistical enquiries
C331	Q07.2	R11	Aspects of the NSS covered by regulations (e.g. Statistical Law, presidential decrees)	Access to administrative data
C332	Q07.2	R12	Aspects of the NSS covered by regulations (e.g. Statistical Law, presidential decrees)	Presumption of publication and the acceptable conditions for not publishing data collected
C333	Q07.2	R13	Aspects of the NSS covered by regulations (e.g. Statistical Law, presidential decrees)	Secrecy, confidentiality and privacy obligations (including sanctions for non-compliance)
C334	Q07.2	R14	Aspects of the NSS covered by regulations (e.g. Statistical Law, presidential decrees)	Participation in international statistical activities
C335	Q07.2	R15	Aspects of the NSS covered by regulations (e.g. Statistical Law, presidential decrees)	Other
C336	Q07.2	R16	Aspects of the NSS covered by regulations (e.g. Statistical Law, presidential decrees)	None Of The Above
C337	Q07.2a	R01	Agencies other than NSO whose role and responsibilities are covered by the law	Statistical offices at the sub-national level (region, province, etc.)
C338	Q07.2a	R02	Agencies other than NSO whose role and responsibilities are covered by the law	Statistical services in line ministries
C339	Q07.2a	R03	Agencies other than NSO whose role and responsibilities are covered by the law	Statistical services in the Central Bank
C340	Q07.2a	R04	Agencies other than NSO whose role and responsibilities are covered by the law	Custodians of administrative data
C341	Q07.2a	R05	Agencies other than NSO whose role and responsibilities are covered by the law	Chambers of commerce or other business networks
C342	Q07.2a	R06	Agencies other than NSO whose role and responsibilities are covered by the law	Trade unions
C343	Q07.2a	R07	Agencies other than NSO whose role and responsibilities are covered by the law	Statistical research and training centres 
C344	Q07.2a	R08	Agencies other than NSO whose role and responsibilities are covered by the law	Private institutions
C345	Q07.2a	R09	Agencies other than NSO whose role and responsibilities are covered by the law	Supra-national bodies (e.g. Eurostat)
C346	Q07.2a	R10	Agencies other than NSO whose role and responsibilities are covered by the law	Other
C347	Q07.2a	R11	Agencies other than NSO whose role and responsibilities are covered by the law	None Of The Above
C348	Q07.2b	R01	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys	
C349	Q07.3	R01	How the NSO has encouraged respondents to answer surveys during the past five years	By launching awareness campaigns prior to censuses or large surveys
C350	Q07.3	R02	How the NSO has encouraged respondents to answer surveys during the past five years	By sending pre-announcement letters
C351	Q07.3	R03	How the NSO has encouraged respondents to answer surveys during the past five years	By requesting informed consent
C352	Q07.3	R04	How the NSO has encouraged respondents to answer surveys during the past five years	By providing an explanatory text on the front page of the survey
C353	Q07.3	R05	How the NSO has encouraged respondents to answer surveys during the past five years	By applying fines for not responding
C354	Q07.3	R06	How the NSO has encouraged respondents to answer surveys during the past five years	By declaring the census day national holiday
C355	Q07.3	R07	How the NSO has encouraged respondents to answer surveys during the past five years	Other
C356	Q07.3	R08	How the NSO has encouraged respondents to answer surveys during the past five years	None Of The Above
C357	Q07.4 	R01	Person/office within the government to whom the head of the NSO reports	
C358	Q07.5 	R01	A Freedom of Information or Access to Information law covers the NSS	
C359	Q07.6 	R01	Regulations affect the functioning of the NSOs published on the website	
C360	Q07.7 	R01	Additional comments on challenges to the implementation of Principle 7	
C361	Q08.1	R01	Agencies other than the NSO which produce official statistics on behalf of the government	Statistical offices at the sub-national level (region, province, etc.)
C362	Q08.1	R02	Agencies other than the NSO which produce official statistics on behalf of the government	Statistical services in line ministries
C363	Q08.1	R03	Agencies other than the NSO which produce official statistics on behalf of the government	Statistical services in the Central Bank
C364	Q08.1	R04	Agencies other than the NSO which produce official statistics on behalf of the government	Statistical research and training centers
C365	Q08.1	R05	Agencies other than the NSO which produce official statistics on behalf of the government	Private institutions
C366	Q08.1	R06	Agencies other than the NSO which produce official statistics on behalf of the government	Public research institutions
C367	Q08.1	R07	Agencies other than the NSO which produce official statistics on behalf of the government	Supra-national bodies (e.g. Eurostat)
C368	Q08.1	R08	Agencies other than the NSO which produce official statistics on behalf of the government	Other
C369	Q08.1	R09	Agencies other than the NSO which produce official statistics on behalf of the government	None Of The Above
C370	Q08.2	R01	Activities currently being implemented for coordinating the NSS	Signing of memorandums of understanding between agencies
C371	Q08.2	R02	Activities currently being implemented for coordinating the NSS	Meeting in statistical committees, councils, etc. 
C372	Q08.2	R03	Activities currently being implemented for coordinating the NSS	Sharing of information and databases
C373	Q08.2	R04	Activities currently being implemented for coordinating the NSS	Developing joint training programmes
C374	Q08.2	R05	Activities currently being implemented for coordinating the NSS	Exchanging staff between agencies
C375	Q08.2	R06	Activities currently being implemented for coordinating the NSS	Placement of NSO staff in other agencies
C376	Q08.2	R07	Activities currently being implemented for coordinating the NSS	Reviewing and â€œclearingâ€ any planned data collection
C377	Q08.2	R08	Activities currently being implemented for coordinating the NSS	Monitoring duplication of work between agencies
C378	Q08.2	R09	Activities currently being implemented for coordinating the NSS	Sharing budget between statistical agencies
C379	Q08.2	R10	Activities currently being implemented for coordinating the NSS	Embarking in joint data collection
C380	Q08.2	R11	Activities currently being implemented for coordinating the NSS	Preparing annual or multi-annual consolidated program of statistical activities
C381	Q08.2	R12	Activities currently being implemented for coordinating the NSS	Performing regular quality reviews of statistical programs across the NSS
C382	Q08.2	R13	Activities currently being implemented for coordinating the NSS	Other
C383	Q08.2	R14	Activities currently being implemented for coordinating the NSS	None Of The Above
C384	Q08.3	R01	Frequency of meetings between producers of official statistics during the past five years	
C385	Q08.4	R01	How is dissemination coordinated across the NSS	Unified release calendar
C386	Q08.4	R02	How is dissemination coordinated across the NSS	Standardized microdata structure
C387	Q08.4	R03	How is dissemination coordinated across the NSS	Standardized metadata structure
C388	Q08.4	R04	How is dissemination coordinated across the NSS	Other
C389	Q08.4	R05	How is dissemination coordinated across the NSS	None Of The Above
C390	Q08.5	R01	Existence of a central data portal where different members of the NSS publish official statistical data	
C391	Q08.5a	R01	Details of data portal where different members of the NSS publish official statistical data	
C392	Q08.5b	R01	Reasons/challenges explaining lack of data portal where different members of the NSS publish official statistical data	
C393	Q08.6	R01	Additional comments on challenges for the implementation of Principle 8	
C394	Q09.1	R01	Version of the SNA currently used	
C395	Q09.1a	R01	Details on version of SNA currently used	
C396	Q09.2	R01	Extent to which Principles and Recommendations for Population and Housing Censuses, Rev. 3 (for census undertaken after 2015) or Rev. 2 (for census undertaken before 2015) are being implemented in the latest census programme	
C397	Q09.2a	R01	Main reasons/challenges explaining why principles and Recommendations for Population and Housing Censuses, Rev. 3 (for census undertaken after 2015) or Rev. 2 (for census undertaken before 2015) are being implemented partially or not implemented in the latest census programme	
C398	Q09.3	R01	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	For the dissemination of time-use statistics, regardless of the type of instruments used for data collection
C399	Q09.3	R02	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	To guide the collection of time-use data 
C400	Q09.3	R03	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	As the basis for national classifications of activities for time-use statistics
C401	Q09.3	R04	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	None of the above
C402	Q09.3	R05	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	Time use is not compiled
C403	Q09.3a	R01	Details on use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	
C404	Q09.4	R01	Existence of a programme on EEA*?	Yes, we have compiled and published at least one EEA
C405	Q09.4	R02	Existence of a programme on EEA*?	Yes, we have compiled (or are compiling) at least one EEA but it has not been published
C406	Q09.4	R03	Existence of a programme on EEA*?	We plan (or have started) a programme on EEA, but do not yet compile any EEA
C407	Q09.4	R04	Existence of a programme on EEA*?	No, we do not have a programme on EEA 
C408	Q09.5	R01	SDMX currently in use	
C409	Q09.5a	R01	Details or examples on the use of SDMX	
C410	Q09.5b	R01	Main reasons/challenges explaining the lack of use of SDMX	
C411	Q09.6	R01	Additional comments on the implementation of Principle 9	
C412	Q10.1	R01	Types of international cooperation activities the NSS engages in	Participation in international working groups
C413	Q10.1	R02	Types of international cooperation activities the NSS engages in	Participation in regional working groups
C414	Q10.1	R03	Types of international cooperation activities the NSS engages in	Technical cooperation
C415	Q10.1	R04	Types of international cooperation activities the NSS engages in	Twinning (peer to peer collaboration)
C416	Q10.1	R05	Types of international cooperation activities the NSS engages in	Training of statistical personnel
C417	Q10.1	R06	Types of international cooperation activities the NSS engages in	Peer reviews and/or external evaluations
C418	Q10.1	R07	Types of international cooperation activities the NSS engages in	Other
C419	Q10.1	R08	Types of international cooperation activities the NSS engages in	None Of The Above
C420	Q10.2	R01	Ways in which international cooperation has affected the functioning of your NSS	
C421	Q10.3	R01	Existence of donor coordination mechanism or basket fund for statistics (if country receives support from donors)	
C422	Q10.3a	R01	Details on donor coordination mechanism or basket fund for statistics	
C423	Q10.3b	R01	Main reasons/challenges for lack of donor coordination mechanism or basket fund for statistics	
C424	Q10.4	R01	The NSO participates in or contributes to organizations or partnerships whose purpose is to promote open data	
C425	Q10.4a	R01	Organizations or partnerships whose purpose is to promote open data in which the NSO participates or contributes	
C426	Q10.5	R01	Additional comments on the implementation of Principle 10	
C427	Q11.1	R01	Milestones with respect to the implementation of the UNFPOS over the past 10 years	
C428	Q11.2	R01	Main challenges being faced in the implementation of the UNFPOS	
C429	Q11.3	R01	How implementation of the UNFPOS is expected to change over the next 10 years	
C430	Q11.4	R01	How can international organizations contribute to the implementation of the UNFPOS at the country level	
C431	Q11.5	R01	How long did it take to fill out this questionnaire (in minutes)?	
